NOME_CANDIDATO;NOME_URNA_CANDIDATO;SIGLA_PARTIDO
AFFONSO ALVES DE CAMARGO NETTO;AFFONSO CAMARGO;PTB
GUILHERME AFIF DOMINGOS;AFIF;PL
ANTONIO AURELIANO CHAVES DE MENDONÇA;AURELIANO CHAVES;PFL
LEONEL DE MOURA BRIZOLA;BRIZOLA;PDT
CELSO TEXEIRA BRANT;CELSO BRANT;PMN
FERNANDO AFFONSO COLLOR DE MELLO;COLLOR;PRN
ARMANDO CORREA DA SILVA;CORREA;PMB
ENEAS FERREIRA CARNEIRO;ENEAS;PRONA
EUDES DE OLIVEIRA MATTAR;EUDES MATTAR;PLP
FERNANDO PAULO NAGLE GABEIRA;GABEIRA;PV
LIVIA MARIA LEDO PIO DE ABREU;LIVIA MARIA;PN
LUIZ INACIO LULA DA SILVA;LULA;PT
PAULO SALIM MALUF;MALUF;PDS
MANOEL ANTONIO DE OLIVEIRA HORTA;MANOEL HORTA;PDCdoB
MARIO COVAS JUNIOR;MARIO COVAS;PSDB
JOSÉ ALCIDES MARRONZINHO DE OLIVEIRA;MARRONZINHO;PSP
PAULO GONTIJO;P.G.;PP
ANTONIO DOS SANTOS PEDREIRA;PEDREIRA;PPB
ROBERTO JOAO PEREIRA FREIRE;ROBERTO FREIRE;PCB
RONALDO RAMOS CAIADO;RONALDO CAIADO;PSD
ULYSSES SILVEIRA GUIMARAES;ULYSSES GUIMARAES;PMDB
ZAMIR JOSE TEXEIRA;ZAMIR;PCN
