NOME_URNA_CANDIDATO;AC;AL;AM;AP;BA;CE;DF;ES;GO;MA;MG;MS;MT;PA;PB;PE;PI;PR;RJ;RN;RO;RR;RS;SC;SE;SP;TO;ZZ
AFFONSO CAMARGO;574;4126;3587;520;20733;13821;6732;5823;7623;8098;40028;4317;4073;11230;5341;11292;5227;86065;42282;4331;2217;415;15646;12713;2880;58096;1472;22
AFIF;7149;26869;36544;4323;100970;60228;48068;45644;111808;54021;503027;60061;66916;65419;25659;70093;36829;494608;191751;20846;26123;2252;178311;206957;9744;807944;9822;534
AURELIANO CHAVES;797;10677;3471;695;34951;23518;7350;10164;8809;16189;227049;5286;4928;10919;9110;19590;18819;23686;48640;5992;2991;459;19290;10101;6371;69315;1563;91
BRIZOLA;8582;63071;26129;4935;229186;505440;71719;105093;70146;116539;418935;63721;75194;52361;186076;265548;93507;616170;3855561;78259;39650;5092;3262925;632170;55751;252651;11605;1649
CELSO BRANT;288;1344;1309;191;8425;5793;1144;2014;3075;3253;14128;1301;1431;2991;2590;4267;2528;9170;8230;1717;782;128;5147;4151;1255;22737;505;9
COLLOR;49862;554612;300848;42255;1408614;861030;172818;468910;803199;609758;2801422;436539;344973;793384;457129;1066986;383632;1738216;1189385;326878;165607;32130;480842;566990;301730;4085223;164964;3094
CORREA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ENEAS;1058;3376;2837;533;31655;11596;3069;7495;8257;8531;65344;2986;2747;8135;6997;14359;5011;11267;40916;6695;2029;210;22787;10521;2919;77823;1421;4
EUDES MATTAR;443;2968;1048;215;24557;8831;776;3241;5126;7535;32474;1325;1776;3541;8750;15121;6507;7006;4046;4736;1238;92;2347;2215;1945;13589;888;7
GABEIRA;297;1953;1063;204;10188;10031;870;2100;2580;4043;14104;1225;1451;3151;3935;5681;3291;7533;12090;2347;776;118;9178;4185;1622;21229;540;59
LIVIA MARIA;466;5298;2075;330;16925;15096;1174;3063;5025;6900;21691;2617;2437;6208;5729;9996;6154;12378;9276;3715;1168;179;6320;4104;3260;26758;1554;29
LULA;22954;76227;125406;21026;1050444;321526;220720;264983;298261;255586;1792789;73697;76700;294981;313895;950189;219406;353907;904223;239010;75532;5417;350062;255015;108002;2921970;27888;2505
MALUF;12882;9253;24832;1960;72200;108877;31364;32221;80376;35939;275669;47237;43679;62848;33777;43518;38236;319932;115656;52546;24934;1377;309406;236151;23550;3934334;13258;573
MANOEL HORTA;290;1542;745;136;7942;7263;371;1376;1899;3309;10197;850;1029;2422;3163;4081;2783;5128;4539;1984;552;86;5365;2488;1184;12060;496;11
MARIO COVAS;3716;67240;36380;3695;248803;477286;135227;118048;101514;44154;799227;50465;33472;101282;94774;101093;48763;325652;643786;56768;13718;2944;249384;177980;39499;3802330;9739;3442
MARRONZINHO;468;2941;1983;436;24301;13790;1722;5459;5255;8254;38093;2355;2877;6051;8124;14444;4886;13761;16466;4482;1609;184;10302;6095;5661;37525;855;29
P.G.;503;9346;1542;240;22799;24984;835;2615;4147;12196;23099;2037;2402;5726;8694;15011;9002;9939;5030;6189;1002;214;4462;2812;4507;17311;2064;2
PEDREIRA;259;1566;738;155;8529;6153;522;1598;2090;3440;11481;1071;1082;2695;2993;4549;2572;5954;5481;2107;581;83;4780;2762;1295;11147;417;7
ROBERTO FREIRE;651;5674;4744;893;29803;23037;24865;10476;9656;12672;99672;6040;4375;13645;12173;98651;7303;30021;154021;10628;2267;339;45475;13965;6122;140539;1096;314
RONALDO CAIADO;763;1838;1799;321;30947;7714;3023;18125;78065;7599;80601;10850;9902;6830;5512;8402;3770;53287;18269;4868;3222;359;34317;12735;2104;78670;4980;21
ULYSSES GUIMARAES;14580;9138;17303;3883;638007;85406;26167;71408;157355;72794;459308;44130;56209;66384;97634;89991;61037;144687;124752;139093;19370;1589;185433;242757;12161;331576;32701;143
ZAMIR;1428;2411;1486;325;31096;10436;944;3714;5245;8452;28554;2053;2622;5123;8136;13966;5809;8857;7103;6293;1366;130;5410;4195;2317;18517;1172;4
